,topic,gujlish,english
4413,Debating street food vs. restaurant food,Restaurant food clean hoy.,Restaurant food is clean.
4414,Sharing fitness and gym experiences,Diet pan follow karvanu che.,Need to follow a diet too.
4415,Asking for directions to a nearby landmark,Hospital java rasto kai taraf che?,Which way is the hospital?
4416,Discussing a friend's recent wedding,Shaadi ma khub maja avi.,The wedding was a lot of fun.
4417,Debating street food vs. restaurant food,Restaurant food clean hoy.,Restaurant food is clean.
4418,Talking about a recent cricket match,Kohli ni batting mast hati.,Kohli's batting was amazing.
4419,Discussing weekend plans,Shopping karva javanu che weekend ma.,Going shopping this weekend.
4420,Talking about Diwali preparations,Safai toh sharu thai gayi che.,Cleaning has already started.
4421,Complaining about the Delhi traffic,Traffic jam ma fast food pan khayi lidhu.,Had fast food in the traffic jam.
4422,Complaining about the Delhi traffic,Rickshaw pan nathi madti traffic ma.,Can't even get a rickshaw in traffic.
4423,Debating street food vs. restaurant food,Restaurant ma ambience matter kare che.,Ambience matters in restaurants.
4424,Discussing a new Bollywood movie,Movie ma acting toh superb hati.,The acting in the movie was superb.
4425,Complaining about the Delhi traffic,Traffic jam ma fast food pan khayi lidhu.,Had fast food in the traffic jam.
4426,Debating street food vs. restaurant food,Street food ma taste vadhu hoy.,Street food tastes better.
4427,Debating street food vs. restaurant food,Restaurant ma ambience matter kare che.,Ambience matters in restaurants.
4428,Talking about a recent cricket match,Dhoni ni innings jova jevi hati!,Dhoni's innings was worth watching!
4429,Talking about changes in weather,Thand vadhi gayi che.,The cold has increased.
4430,Discussing a new Bollywood movie,Climax unexpected hato.,The climax was unexpected.
4431,Discussing a friend's recent wedding,Dance performance next level hati!,The dance performance was next level!
4432,Talking about a recent cricket match,Dhoni ni innings jova jevi hati!,Dhoni's innings was worth watching!
4433,Talking about changes in weather,Thand vadhi gayi che.,The cold has increased.
4434,Debating street food vs. restaurant food,Street food ma taste vadhu hoy.,Street food tastes better.
4435,Talking about changes in weather,"Weather mast che, coffee ni talav thai.","The weather is great, craving coffee."
4436,Comparing old songs to new remixes,Remix ma soul nathi hoti.,Remixes lack soul.
4437,Discussing a new Bollywood movie,Songs catchy hata!,The songs were catchy!
4438,Complaining about the Delhi traffic,Rickshaw pan nathi madti traffic ma.,Can't even get a rickshaw in traffic.
4439,Talking about Diwali preparations,Pataka lidha ke nahi?,Bought crackers or not?
4440,Ordering food at a restaurant,Paneer tikka ane butter naan mokli do.,Send paneer tikka and butter naan.
4441,Complaining about the Delhi traffic,Traffic jam ma fast food pan khayi lidhu.,Had fast food in the traffic jam.
4442,Debating street food vs. restaurant food,Street food ma taste vadhu hoy.,Street food tastes better.
4443,Talking about a recent cricket match,India jetyu ejoye j hatu!,India winning was expected!
4444,Talking about Diwali preparations,Safai toh sharu thai gayi che.,Cleaning has already started.
4445,Talking about Diwali preparations,Light lagadvani che aaje.,Have to put up lights today.
4446,Discussing a friend's recent wedding,Food bahu tasty hatu!,The food was very tasty!
4447,Discussing weekend plans,Shopping karva javanu che weekend ma.,Going shopping this weekend.
4448,Discussing a friend's recent wedding,Shaadi ma khub maja avi.,The wedding was a lot of fun.
4449,Discussing weekend plans,Hu toh Sunday rest karis.,I will just rest on Sunday.
4450,Discussing a new Bollywood movie,Climax unexpected hato.,The climax was unexpected.
4451,Debating street food vs. restaurant food,Restaurant ma ambience matter kare che.,Ambience matters in restaurants.
4452,Planning a trip to Goa,December ma Goa ni maja alag j hoy!,Goa in December hits different!
4453,Sharing fitness and gym experiences,Daily 1 hour gym karu chu.,I gym for 1 hour daily.
4454,Complaining about the Delhi traffic,Rickshaw pan nathi madti traffic ma.,Can't even get a rickshaw in traffic.
4455,Complaining about the Delhi traffic,Subah 9 baje toh road full tight hoy.,At 9am the roads are packed.
4456,Discussing a new Bollywood movie,Movie ma acting toh superb hati.,The acting in the movie was superb.
4457,Ordering food at a restaurant,Thodu spicy banavjo please.,Please make it a bit spicy.
4458,Planning a trip to Goa,Scooter rent par laiye?,Shall we rent a scooter?
4459,Complaining about the Delhi traffic,Subah 9 baje toh road full tight hoy.,At 9am the roads are packed.
4460,Debating street food vs. restaurant food,Street food sasti ane tasty hoy.,Street food is cheap and tasty.
4461,Asking for directions to a nearby landmark,"Library jawanu che, rasto batavo.","I want to go to the library, show me the way."
4462,Comparing old songs to new remixes,Navu version jamtu nathi.,Donâ€™t like the new version.
4463,Planning a trip to Goa,Flight ticket sasta male che ajkal.,Flight tickets are cheap these days.
4464,Comparing old songs to new remixes,Remix ma soul nathi hoti.,Remixes lack soul.
4465,Talking about a recent cricket match,Match last over sudhi tight hato.,The match was tight till the last over.
4466,Comparing old songs to new remixes,Navu version jamtu nathi.,Donâ€™t like the new version.
4467,Talking about Diwali preparations,Pataka lidha ke nahi?,Bought crackers or not?
4468,Discussing a friend's recent wedding,Shaadi ma khub maja avi.,The wedding was a lot of fun.
4469,Talking about a recent cricket match,Match last over sudhi tight hato.,The match was tight till the last over.
4470,Discussing a new Bollywood movie,Climax unexpected hato.,The climax was unexpected.
4471,Complaining about the Delhi traffic,Subah 9 baje toh road full tight hoy.,At 9am the roads are packed.
4472,Discussing a friend's recent wedding,Shaadi ma khub maja avi.,The wedding was a lot of fun.
4473,Comparing old songs to new remixes,Old songs timeless che.,Old songs are timeless.
4474,Talking about changes in weather,Garmi toh jevi j che!,The heat is the same!
4475,Ordering food at a restaurant,Bill lavjo please.,Please bring the bill.
4476,Discussing a new Bollywood movie,Movie ma acting toh superb hati.,The acting in the movie was superb.
4477,Asking for directions to a nearby landmark,"Library jawanu che, rasto batavo.","I want to go to the library, show me the way."
4478,Talking about Diwali preparations,Faral banavvano plan che.,Planning to make sweets and snacks.
4479,Discussing weekend plans,Shopping karva javanu che weekend ma.,Going shopping this weekend.
4480,Discussing a friend's recent wedding,Shaadi ma khub maja avi.,The wedding was a lot of fun.
4481,Complaining about the Delhi traffic,Traffic jam ma fast food pan khayi lidhu.,Had fast food in the traffic jam.
4482,Complaining about the Delhi traffic,Rickshaw pan nathi madti traffic ma.,Can't even get a rickshaw in traffic.
4483,Talking about changes in weather,"Weather mast che, coffee ni talav thai.","The weather is great, craving coffee."
4484,Discussing a friend's recent wedding,Shaadi ma khub maja avi.,The wedding was a lot of fun.
4485,Comparing old songs to new remixes,Old songs timeless che.,Old songs are timeless.
4486,Discussing a new Bollywood movie,Climax unexpected hato.,The climax was unexpected.
4487,Talking about changes in weather,"Weather mast che, coffee ni talav thai.","The weather is great, craving coffee."
4488,Debating street food vs. restaurant food,Street food sasti ane tasty hoy.,Street food is cheap and tasty.
4489,Complaining about the Delhi traffic,Traffic jam ma fast food pan khayi lidhu.,Had fast food in the traffic jam.
4490,Discussing weekend plans,Kahi outdoor plan che?,Any outdoor plans?
4491,Complaining about the Delhi traffic,Subah 9 baje toh road full tight hoy.,At 9am the roads are packed.
4492,Talking about Diwali preparations,Safai toh sharu thai gayi che.,Cleaning has already started.
4493,Planning a trip to Goa,Beach resort book kariye?,Shall we book a beach resort?
4494,Discussing weekend plans,Kahi outdoor plan che?,Any outdoor plans?
4495,Debating street food vs. restaurant food,Restaurant ma ambience matter kare che.,Ambience matters in restaurants.
4496,Planning a trip to Goa,December ma Goa ni maja alag j hoy!,Goa in December hits different!
4497,Talking about Diwali preparations,Light lagadvani che aaje.,Have to put up lights today.
4498,Discussing weekend plans,Kahi outdoor plan che?,Any outdoor plans?
4499,Planning a trip to Goa,Flight ticket sasta male che ajkal.,Flight tickets are cheap these days.
4500,Discussing a new Bollywood movie,Movie ma acting toh superb hati.,The acting in the movie was superb.
4501,Ordering food at a restaurant,Thodu spicy banavjo please.,Please make it a bit spicy.
4502,Talking about Diwali preparations,Faral banavvano plan che.,Planning to make sweets and snacks.
4503,Comparing old songs to new remixes,Original song ni feel biji j che.,Original songs have a different feel.
4504,Sharing fitness and gym experiences,Workout pachi energy feel thay che.,Feel energetic after a workout.
4505,Discussing weekend plans,Hu toh Sunday rest karis.,I will just rest on Sunday.
4506,Comparing old songs to new remixes,Navu version jamtu nathi.,Donâ€™t like the new version.
4507,Talking about changes in weather,"Weather mast che, coffee ni talav thai.","The weather is great, craving coffee."
4508,Discussing a friend's recent wedding,Shaadi ma khub maja avi.,The wedding was a lot of fun.
4509,Asking for directions to a nearby landmark,"Library jawanu che, rasto batavo.","I want to go to the library, show me the way."
4510,Talking about a recent cricket match,Kohli ni batting mast hati.,Kohli's batting was amazing.
4511,Debating street food vs. restaurant food,Restaurant ma ambience matter kare che.,Ambience matters in restaurants.
4512,Talking about a recent cricket match,Dhoni ni innings jova jevi hati!,Dhoni's innings was worth watching!
4513,Discussing a new Bollywood movie,Songs catchy hata!,The songs were catchy!
4514,Talking about changes in weather,Garmi toh jevi j che!,The heat is the same!
4515,Discussing a new Bollywood movie,Story thodi weak hati.,The story was a bit weak.
4516,Talking about a recent cricket match,Dhoni ni innings jova jevi hati!,Dhoni's innings was worth watching!
4517,Discussing weekend plans,Hu toh Sunday rest karis.,I will just rest on Sunday.
4518,Sharing fitness and gym experiences,Diet pan follow karvanu che.,Need to follow a diet too.
4519,Ordering food at a restaurant,Bill lavjo please.,Please bring the bill.
4520,Talking about a recent cricket match,Dhoni ni innings jova jevi hati!,Dhoni's innings was worth watching!
4521,Discussing a new Bollywood movie,Songs catchy hata!,The songs were catchy!
4522,Ordering food at a restaurant,Dessert ma su che?,What do you have in dessert?
4523,Debating street food vs. restaurant food,Restaurant ma ambience matter kare che.,Ambience matters in restaurants.
4524,Complaining about the Delhi traffic,Office pochva 2 kalak laagi gaya!,Took 2 hours to reach office!
4525,Comparing old songs to new remixes,Old songs timeless che.,Old songs are timeless.
4526,Talking about Diwali preparations,Faral banavvano plan che.,Planning to make sweets and snacks.
4527,Asking for directions to a nearby landmark,Hospital java rasto kai taraf che?,Which way is the hospital?
4528,Debating street food vs. restaurant food,Street food sasti ane tasty hoy.,Street food is cheap and tasty.
4529,Debating street food vs. restaurant food,Restaurant food clean hoy.,Restaurant food is clean.
4530,Comparing old songs to new remixes,Navu version jamtu nathi.,Donâ€™t like the new version.
4531,Comparing old songs to new remixes,Original song ni feel biji j che.,Original songs have a different feel.
4532,Sharing fitness and gym experiences,Workout pachi energy feel thay che.,Feel energetic after a workout.
4533,Discussing a new Bollywood movie,Songs catchy hata!,The songs were catchy!
4534,Complaining about the Delhi traffic,Rickshaw pan nathi madti traffic ma.,Can't even get a rickshaw in traffic.
4535,Discussing a friend's recent wedding,Dance performance next level hati!,The dance performance was next level!
4536,Debating street food vs. restaurant food,Street food sasti ane tasty hoy.,Street food is cheap and tasty.
4537,Talking about Diwali preparations,Light lagadvani che aaje.,Have to put up lights today.
4538,Discussing a friend's recent wedding,Food bahu tasty hatu!,The food was very tasty!
4539,Comparing old songs to new remixes,Original song ni feel biji j che.,Original songs have a different feel.
4540,Talking about changes in weather,Varsad ghano pade che aaje.,Itâ€™s raining a lot today.
4541,Ordering food at a restaurant,Thodu spicy banavjo please.,Please make it a bit spicy.
4542,Talking about Diwali preparations,Faral banavvano plan che.,Planning to make sweets and snacks.
4543,Talking about changes in weather,"Weather mast che, coffee ni talav thai.","The weather is great, craving coffee."
4544,Ordering food at a restaurant,Paneer tikka ane butter naan mokli do.,Send paneer tikka and butter naan.
4545,Planning a trip to Goa,Beach resort book kariye?,Shall we book a beach resort?
4546,Talking about changes in weather,Garmi toh jevi j che!,The heat is the same!
4547,Debating street food vs. restaurant food,Restaurant ma ambience matter kare che.,Ambience matters in restaurants.
4548,Complaining about the Delhi traffic,Office pochva 2 kalak laagi gaya!,Took 2 hours to reach office!
4549,Discussing a friend's recent wedding,Decor ekdam royal hato.,The decoration was royal.
4550,Discussing a friend's recent wedding,Food bahu tasty hatu!,The food was very tasty!
4551,Complaining about the Delhi traffic,Subah 9 baje toh road full tight hoy.,At 9am the roads are packed.
4552,Comparing old songs to new remixes,Remix ma soul nathi hoti.,Remixes lack soul.
4553,Debating street food vs. restaurant food,Restaurant food clean hoy.,Restaurant food is clean.
4554,Discussing a new Bollywood movie,Climax unexpected hato.,The climax was unexpected.
4555,Discussing a friend's recent wedding,Dance performance next level hati!,The dance performance was next level!
4556,Ordering food at a restaurant,Paneer tikka ane butter naan mokli do.,Send paneer tikka and butter naan.
4557,Planning a trip to Goa,Beach resort book kariye?,Shall we book a beach resort?
4558,Talking about a recent cricket match,Kohli ni batting mast hati.,Kohli's batting was amazing.
4559,Planning a trip to Goa,Flight ticket sasta male che ajkal.,Flight tickets are cheap these days.
4560,Comparing old songs to new remixes,Remix ma soul nathi hoti.,Remixes lack soul.
4561,Asking for directions to a nearby landmark,"Library jawanu che, rasto batavo.","I want to go to the library, show me the way."
4562,Asking for directions to a nearby landmark,Bus stop ketli door che?,How far is the bus stop?
4563,Talking about Diwali preparations,Pataka lidha ke nahi?,Bought crackers or not?
4564,Debating street food vs. restaurant food,Street food sasti ane tasty hoy.,Street food is cheap and tasty.
4565,Sharing fitness and gym experiences,Daily 1 hour gym karu chu.,I gym for 1 hour daily.
4566,Comparing old songs to new remixes,Navu version jamtu nathi.,Donâ€™t like the new version.
4567,Complaining about the Delhi traffic,Subah 9 baje toh road full tight hoy.,At 9am the roads are packed.
4568,Debating street food vs. restaurant food,Street food sasti ane tasty hoy.,Street food is cheap and tasty.
4569,Discussing weekend plans,Hu toh Sunday rest karis.,I will just rest on Sunday.
4570,Complaining about the Delhi traffic,Rickshaw pan nathi madti traffic ma.,Can't even get a rickshaw in traffic.
4571,Planning a trip to Goa,Flight ticket sasta male che ajkal.,Flight tickets are cheap these days.
4572,Discussing a new Bollywood movie,Movie ma acting toh superb hati.,The acting in the movie was superb.
4573,Debating street food vs. restaurant food,Restaurant food clean hoy.,Restaurant food is clean.
4574,Complaining about the Delhi traffic,Rickshaw pan nathi madti traffic ma.,Can't even get a rickshaw in traffic.
4575,Complaining about the Delhi traffic,Subah 9 baje toh road full tight hoy.,At 9am the roads are packed.
4576,Comparing old songs to new remixes,Remix ma soul nathi hoti.,Remixes lack soul.
4577,Comparing old songs to new remixes,Old songs timeless che.,Old songs are timeless.
4578,Discussing a friend's recent wedding,Food bahu tasty hatu!,The food was very tasty!
4579,Asking for directions to a nearby landmark,Hospital java rasto kai taraf che?,Which way is the hospital?
4580,Sharing fitness and gym experiences,Workout pachi energy feel thay che.,Feel energetic after a workout.
4581,Talking about Diwali preparations,Light lagadvani che aaje.,Have to put up lights today.
4582,Sharing fitness and gym experiences,Diet pan follow karvanu che.,Need to follow a diet too.
4583,Comparing old songs to new remixes,Original song ni feel biji j che.,Original songs have a different feel.
4584,Planning a trip to Goa,December ma Goa ni maja alag j hoy!,Goa in December hits different!
4585,Discussing a new Bollywood movie,Songs catchy hata!,The songs were catchy!
4586,Planning a trip to Goa,Scooter rent par laiye?,Shall we rent a scooter?
4587,Discussing weekend plans,Shopping karva javanu che weekend ma.,Going shopping this weekend.
4588,Asking for directions to a nearby landmark,Railway station kya che?,Where is the railway station?
4589,Talking about changes in weather,Thand vadhi gayi che.,The cold has increased.
4590,Complaining about the Delhi traffic,Rickshaw pan nathi madti traffic ma.,Can't even get a rickshaw in traffic.
4591,Talking about changes in weather,"Weather mast che, coffee ni talav thai.","The weather is great, craving coffee."
4592,Discussing weekend plans,Weekend ma movie jova jaiye?,Shall we go for a movie this weekend?
4593,Talking about changes in weather,Thand vadhi gayi che.,The cold has increased.
4594,Discussing a friend's recent wedding,Food bahu tasty hatu!,The food was very tasty!
4595,Discussing a friend's recent wedding,Dance performance next level hati!,The dance performance was next level!
4596,Planning a trip to Goa,December ma Goa ni maja alag j hoy!,Goa in December hits different!
4597,Planning a trip to Goa,Beach resort book kariye?,Shall we book a beach resort?
4598,Discussing a new Bollywood movie,Climax unexpected hato.,The climax was unexpected.
4599,Discussing weekend plans,Shopping karva javanu che weekend ma.,Going shopping this weekend.
4600,Talking about a recent cricket match,Dhoni ni innings jova jevi hati!,Dhoni's innings was worth watching!
4601,Ordering food at a restaurant,Thodu spicy banavjo please.,Please make it a bit spicy.
4602,Debating street food vs. restaurant food,Street food ma taste vadhu hoy.,Street food tastes better.
4603,Comparing old songs to new remixes,Original song ni feel biji j che.,Original songs have a different feel.
4604,Complaining about the Delhi traffic,Office pochva 2 kalak laagi gaya!,Took 2 hours to reach office!
4605,Discussing weekend plans,Hu toh Sunday rest karis.,I will just rest on Sunday.
4606,Discussing a new Bollywood movie,Climax unexpected hato.,The climax was unexpected.
4607,Discussing weekend plans,Shopping karva javanu che weekend ma.,Going shopping this weekend.
4608,Talking about a recent cricket match,Dhoni ni innings jova jevi hati!,Dhoni's innings was worth watching!
4609,Sharing fitness and gym experiences,Daily 1 hour gym karu chu.,I gym for 1 hour daily.
4610,Asking for directions to a nearby landmark,Bus stop ketli door che?,How far is the bus stop?
4611,Comparing old songs to new remixes,Original song ni feel biji j che.,Original songs have a different feel.
4612,Debating street food vs. restaurant food,Street food sasti ane tasty hoy.,Street food is cheap and tasty.
4613,Discussing a new Bollywood movie,Songs catchy hata!,The songs were catchy!
4614,Discussing a friend's recent wedding,Food bahu tasty hatu!,The food was very tasty!
4615,Discussing weekend plans,Shopping karva javanu che weekend ma.,Going shopping this weekend.
4616,Sharing fitness and gym experiences,Workout pachi energy feel thay che.,Feel energetic after a workout.
4617,Ordering food at a restaurant,Thodu spicy banavjo please.,Please make it a bit spicy.
4618,Debating street food vs. restaurant food,Street food ma taste vadhu hoy.,Street food tastes better.
4619,Sharing fitness and gym experiences,Gym mate motivation joie j hoy.,You really need motivation for the gym.
4620,Discussing weekend plans,Weekend ma movie jova jaiye?,Shall we go for a movie this weekend?
4621,Sharing fitness and gym experiences,Daily 1 hour gym karu chu.,I gym for 1 hour daily.
4622,Talking about a recent cricket match,Kohli ni batting mast hati.,Kohli's batting was amazing.
4623,Planning a trip to Goa,Flight ticket sasta male che ajkal.,Flight tickets are cheap these days.
4624,Discussing weekend plans,Weekend ma movie jova jaiye?,Shall we go for a movie this weekend?
4625,Discussing a friend's recent wedding,Decor ekdam royal hato.,The decoration was royal.
4626,Debating street food vs. restaurant food,Street food ma taste vadhu hoy.,Street food tastes better.
4627,Complaining about the Delhi traffic,Subah 9 baje toh road full tight hoy.,At 9am the roads are packed.
4628,Discussing a friend's recent wedding,Shaadi ma khub maja avi.,The wedding was a lot of fun.
4629,Debating street food vs. restaurant food,Restaurant food clean hoy.,Restaurant food is clean.
4630,Talking about Diwali preparations,Faral banavvano plan che.,Planning to make sweets and snacks.
4631,Talking about changes in weather,"Weather mast che, coffee ni talav thai.","The weather is great, craving coffee."
4632,Asking for directions to a nearby landmark,Railway station kya che?,Where is the railway station?
4633,Talking about changes in weather,Thand vadhi gayi che.,The cold has increased.
4634,Discussing a new Bollywood movie,Climax unexpected hato.,The climax was unexpected.
4635,Discussing weekend plans,Shopping karva javanu che weekend ma.,Going shopping this weekend.
4636,Asking for directions to a nearby landmark,Railway station kya che?,Where is the railway station?
4637,Discussing a new Bollywood movie,Songs catchy hata!,The songs were catchy!
4638,Talking about a recent cricket match,Kohli ni batting mast hati.,Kohli's batting was amazing.
4639,Talking about changes in weather,"Weather mast che, coffee ni talav thai.","The weather is great, craving coffee."
4640,Talking about Diwali preparations,Safai toh sharu thai gayi che.,Cleaning has already started.
4641,Discussing a friend's recent wedding,Decor ekdam royal hato.,The decoration was royal.
4642,Debating street food vs. restaurant food,Street food ma taste vadhu hoy.,Street food tastes better.
4643,Sharing fitness and gym experiences,Gym mate motivation joie j hoy.,You really need motivation for the gym.
4644,Ordering food at a restaurant,Paneer tikka ane butter naan mokli do.,Send paneer tikka and butter naan.
4645,Talking about Diwali preparations,Light lagadvani che aaje.,Have to put up lights today.
4646,Discussing a friend's recent wedding,Food bahu tasty hatu!,The food was very tasty!
4647,Talking about a recent cricket match,India jetyu ejoye j hatu!,India winning was expected!
4648,Discussing weekend plans,Weekend ma movie jova jaiye?,Shall we go for a movie this weekend?
4649,Debating street food vs. restaurant food,Restaurant food clean hoy.,Restaurant food is clean.
4650,Talking about a recent cricket match,Kohli ni batting mast hati.,Kohli's batting was amazing.
4651,Complaining about the Delhi traffic,Subah 9 baje toh road full tight hoy.,At 9am the roads are packed.
4652,Ordering food at a restaurant,Paneer tikka ane butter naan mokli do.,Send paneer tikka and butter naan.
4653,Sharing fitness and gym experiences,Daily 1 hour gym karu chu.,I gym for 1 hour daily.
4654,Discussing a friend's recent wedding,Food bahu tasty hatu!,The food was very tasty!
4655,Complaining about the Delhi traffic,Subah 9 baje toh road full tight hoy.,At 9am the roads are packed.
4656,Sharing fitness and gym experiences,Workout pachi energy feel thay che.,Feel energetic after a workout.
4657,Complaining about the Delhi traffic,Traffic jam ma fast food pan khayi lidhu.,Had fast food in the traffic jam.
4658,Complaining about the Delhi traffic,Rickshaw pan nathi madti traffic ma.,Can't even get a rickshaw in traffic.
4659,Talking about Diwali preparations,Pataka lidha ke nahi?,Bought crackers or not?
4660,Discussing a new Bollywood movie,Movie ma acting toh superb hati.,The acting in the movie was superb.
4661,Talking about a recent cricket match,Match last over sudhi tight hato.,The match was tight till the last over.
4662,Comparing old songs to new remixes,Navu version jamtu nathi.,Donâ€™t like the new version.
4663,Complaining about the Delhi traffic,Subah 9 baje toh road full tight hoy.,At 9am the roads are packed.
4664,Debating street food vs. restaurant food,Street food sasti ane tasty hoy.,Street food is cheap and tasty.
4665,Talking about a recent cricket match,Match last over sudhi tight hato.,The match was tight till the last over.
4666,Talking about a recent cricket match,Kohli ni batting mast hati.,Kohli's batting was amazing.
4667,Talking about Diwali preparations,Pataka lidha ke nahi?,Bought crackers or not?
4668,Talking about changes in weather,Varsad ghano pade che aaje.,Itâ€™s raining a lot today.
4669,Debating street food vs. restaurant food,Restaurant food clean hoy.,Restaurant food is clean.
4670,Comparing old songs to new remixes,Navu version jamtu nathi.,Donâ€™t like the new version.
4671,Talking about Diwali preparations,Pataka lidha ke nahi?,Bought crackers or not?
4672,Ordering food at a restaurant,Paneer tikka ane butter naan mokli do.,Send paneer tikka and butter naan.
4673,Discussing a new Bollywood movie,Songs catchy hata!,The songs were catchy!
4674,Sharing fitness and gym experiences,Diet pan follow karvanu che.,Need to follow a diet too.
4675,Comparing old songs to new remixes,Original song ni feel biji j che.,Original songs have a different feel.
4676,Discussing a new Bollywood movie,Movie ma acting toh superb hati.,The acting in the movie was superb.
4677,Planning a trip to Goa,Beach resort book kariye?,Shall we book a beach resort?
4678,Sharing fitness and gym experiences,Diet pan follow karvanu che.,Need to follow a diet too.
4679,Discussing weekend plans,Shopping karva javanu che weekend ma.,Going shopping this weekend.
4680,Discussing a friend's recent wedding,Shaadi ma khub maja avi.,The wedding was a lot of fun.
4681,Debating street food vs. restaurant food,Restaurant food clean hoy.,Restaurant food is clean.
4682,Ordering food at a restaurant,Dessert ma su che?,What do you have in dessert?
4683,Sharing fitness and gym experiences,Gym mate motivation joie j hoy.,You really need motivation for the gym.
4684,Discussing a friend's recent wedding,Shaadi ma khub maja avi.,The wedding was a lot of fun.
4685,Sharing fitness and gym experiences,Daily 1 hour gym karu chu.,I gym for 1 hour daily.
4686,Planning a trip to Goa,Scooter rent par laiye?,Shall we rent a scooter?
4687,Planning a trip to Goa,Flight ticket sasta male che ajkal.,Flight tickets are cheap these days.
4688,Discussing a friend's recent wedding,Shaadi ma khub maja avi.,The wedding was a lot of fun.
4689,Discussing weekend plans,Hu toh Sunday rest karis.,I will just rest on Sunday.
4690,Comparing old songs to new remixes,Navu version jamtu nathi.,Donâ€™t like the new version.
4691,Talking about a recent cricket match,India jetyu ejoye j hatu!,India winning was expected!
4692,Talking about Diwali preparations,Safai toh sharu thai gayi che.,Cleaning has already started.
4693,Discussing a friend's recent wedding,Decor ekdam royal hato.,The decoration was royal.
4694,Discussing weekend plans,Kahi outdoor plan che?,Any outdoor plans?
4695,Debating street food vs. restaurant food,Restaurant ma ambience matter kare che.,Ambience matters in restaurants.
4696,Planning a trip to Goa,December ma Goa ni maja alag j hoy!,Goa in December hits different!
4697,Sharing fitness and gym experiences,Daily 1 hour gym karu chu.,I gym for 1 hour daily.
4698,Talking about a recent cricket match,Kohli ni batting mast hati.,Kohli's batting was amazing.
4699,Discussing a friend's recent wedding,Dance performance next level hati!,The dance performance was next level!
4700,Talking about a recent cricket match,Dhoni ni innings jova jevi hati!,Dhoni's innings was worth watching!
4701,Talking about Diwali preparations,Light lagadvani che aaje.,Have to put up lights today.
4702,Talking about a recent cricket match,Kohli ni batting mast hati.,Kohli's batting was amazing.
4703,Discussing a friend's recent wedding,Dance performance next level hati!,The dance performance was next level!
4704,Comparing old songs to new remixes,Remix ma soul nathi hoti.,Remixes lack soul.
4705,Discussing weekend plans,Hu toh Sunday rest karis.,I will just rest on Sunday.
4706,Ordering food at a restaurant,Dessert ma su che?,What do you have in dessert?
4707,Asking for directions to a nearby landmark,Hospital java rasto kai taraf che?,Which way is the hospital?
4708,Ordering food at a restaurant,Paneer tikka ane butter naan mokli do.,Send paneer tikka and butter naan.
4709,Planning a trip to Goa,Beach resort book kariye?,Shall we book a beach resort?
4710,Sharing fitness and gym experiences,Diet pan follow karvanu che.,Need to follow a diet too.
4711,Complaining about the Delhi traffic,Subah 9 baje toh road full tight hoy.,At 9am the roads are packed.
4712,Sharing fitness and gym experiences,Workout pachi energy feel thay che.,Feel energetic after a workout.
4713,Discussing weekend plans,Hu toh Sunday rest karis.,I will just rest on Sunday.
4714,Talking about Diwali preparations,Faral banavvano plan che.,Planning to make sweets and snacks.
4715,Planning a trip to Goa,Flight ticket sasta male che ajkal.,Flight tickets are cheap these days.
4716,Comparing old songs to new remixes,Remix ma soul nathi hoti.,Remixes lack soul.
4717,Ordering food at a restaurant,Thodu spicy banavjo please.,Please make it a bit spicy.
4718,Planning a trip to Goa,Scooter rent par laiye?,Shall we rent a scooter?
4719,Discussing a friend's recent wedding,Dance performance next level hati!,The dance performance was next level!
4720,Asking for directions to a nearby landmark,Railway station kya che?,Where is the railway station?
4721,Planning a trip to Goa,Beach resort book kariye?,Shall we book a beach resort?
4722,Talking about changes in weather,Garmi toh jevi j che!,The heat is the same!
4723,Talking about changes in weather,"Weather mast che, coffee ni talav thai.","The weather is great, craving coffee."
4724,Asking for directions to a nearby landmark,Railway station kya che?,Where is the railway station?
4725,Discussing a friend's recent wedding,Decor ekdam royal hato.,The decoration was royal.
4726,Talking about a recent cricket match,Kohli ni batting mast hati.,Kohli's batting was amazing.
4727,Talking about a recent cricket match,India jetyu ejoye j hatu!,India winning was expected!
4728,Discussing a friend's recent wedding,Shaadi ma khub maja avi.,The wedding was a lot of fun.
4729,Asking for directions to a nearby landmark,"Library jawanu che, rasto batavo.","I want to go to the library, show me the way."
4730,Talking about a recent cricket match,Kohli ni batting mast hati.,Kohli's batting was amazing.
4731,Discussing a new Bollywood movie,Story thodi weak hati.,The story was a bit weak.
4732,Asking for directions to a nearby landmark,Railway station kya che?,Where is the railway station?
4733,Planning a trip to Goa,Beach resort book kariye?,Shall we book a beach resort?
4734,Planning a trip to Goa,Scooter rent par laiye?,Shall we rent a scooter?
4735,Discussing a friend's recent wedding,Dance performance next level hati!,The dance performance was next level!
4736,Ordering food at a restaurant,Paneer tikka ane butter naan mokli do.,Send paneer tikka and butter naan.
4737,Ordering food at a restaurant,Thodu spicy banavjo please.,Please make it a bit spicy.
4738,Discussing a new Bollywood movie,Climax unexpected hato.,The climax was unexpected.
4739,Discussing a new Bollywood movie,Story thodi weak hati.,The story was a bit weak.
4740,Discussing weekend plans,Weekend ma movie jova jaiye?,Shall we go for a movie this weekend?
4741,Sharing fitness and gym experiences,Daily 1 hour gym karu chu.,I gym for 1 hour daily.
4742,Discussing a friend's recent wedding,Food bahu tasty hatu!,The food was very tasty!
4743,Asking for directions to a nearby landmark,Hospital java rasto kai taraf che?,Which way is the hospital?
